[Tue Jul  3 11:05:12.638 2012] 0.000 sec [all/2/rel 0 (0,20)] [settlement_core] old tbilisi
[Tue Jul  3 11:05:12.640 2012] 0.000 sec [all/2/rel 2 (0,2000)] [street_core] asatiani v aly
[Tue Jul  3 11:05:12.647 2012] 0.000 sec [all/2/rel 0 (0,20)] [settlement_core] old tbilisi
[Tue Jul  3 11:05:12.649 2012] 0.000 sec [all/2/rel 2 (0,2000)] [street_core] asatiani ii ln
[Tue Jul  3 11:05:12.656 2012] 0.000 sec [all/2/rel 0 (0,20)] [settlement_core] old tbilisi
[Tue Jul  3 11:05:12.658 2012] 0.000 sec [all/2/rel 1 (0,2000)] [street_core] asatiani iv dr
[Tue Jul  3 11:05:12.664 2012] 0.000 sec [all/2/rel 0 (0,20)] [settlement_core] old tbilisi
[Tue Jul  3 11:05:12.666 2012] 0.000 sec [all/2/rel 2 (0,2000)] [street_core] asatiani vii aly
[Tue Jul  3 11:05:12.674 2012] 0.000 sec [all/2/rel 0 (0,20)] [settlement_core] old tbilisi
[Tue Jul  3 11:05:12.676 2012] 0.000 sec [all/2/rel 18 (0,2000)] [street_core] asatiani st
[Tue Jul  3 11:05:12.697 2012] 0.000 sec [all/2/rel 0 (0,20)] [settlement_core] old tbilisi
[Tue Jul  3 11:05:12.699 2012] 0.000 sec [all/2/rel 4 (0,2000)] [street_core] lado asatiani i dr
[Tue Jul  3 11:05:12.708 2012] 0.000 sec [all/2/rel 0 (0,20)] [settlement_core] old tbilisi
[Tue Jul  3 11:05:12.711 2012] 0.000 sec [all/2/rel 4 (0,2000)] [street_core] lado asatiani iii dr
[Tue Jul  3 11:05:12.720 2012] 0.000 sec [all/2/rel 0 (0,20)] [settlement_core] old tbilisi
[Tue Jul  3 11:05:12.723 2012] 0.000 sec [all/2/rel 4 (0,2000)] [street_core] lado asatiani ii dr
[Tue Jul  3 11:05:12.732 2012] 0.000 sec [all/2/rel 0 (0,20)] [settlement_core] old tbilisi
[Tue Jul  3 11:05:12.734 2012] 0.000 sec [all/2/rel 1 (0,2000)] [street_core] luka asatiani st
[Tue Jul  3 11:06:16.236 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:16.355 2012] 0.000 sec [all/2/rel 1 (0,2000)] [street_core] mnatobi
[Tue Jul  3 11:06:16.426 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:16.430 2012] 0.000 sec [all/2/rel 0 (0,2000)] [street_core] koptsovi
[Tue Jul  3 11:06:16.434 2012] 0.000 sec [all/2/rel 2 (0,20)] [settlement_core] tbilisi
[Tue Jul  3 11:06:16.437 2012] 0.000 sec [all/2/rel 49 (0,2000)] [street_core] kostava merabi
